PERIOD,STATE_ID,STATE,MIN_C,MEAN_C,MAX_C,PRECIPITATION_MM,MIN_F,MEAN_F,MAX_F,PRECIPITATION_IN
1985-01-01,0,Mexico,7.8,15.9,23.9,36.0,46.04,60.62,75.02,1.4173200000000001
1985-01-01,1,Aguascalientes,3.1,12.2,21.3,4.9,37.58,53.96,70.34,0.19291300000000003
1985-01-01,2,Baja California,5.6,12.9,20.2,12.2,42.08,55.22,68.36,0.480314
1985-01-01,3,Baja California Sur,9.2,17.1,25.0,30.3,48.56,62.78,77.0,1.192911
1985-01-01,4,Campeche,15.7,22.7,29.7,20.9,60.26,72.86,85.46000000000001,0.822833
1985-01-01,5,Coahuila,2.9,10.3,17.7,40.7,37.22,50.54,63.86,1.6023590000000003
1985-01-01,6,Colima,14.4,22.7,30.9,8.1,57.92,72.86,87.61999999999999,0.318897
1985-01-01,7,Chiapas,14.1,20.9,27.8,107.3,57.379999999999995,69.62,82.04,4.224401
1985-01-01,8,Chihuahua,-1.4,7.5,16.5,54.6,29.48,45.5,61.7,2.1496020000000002
1985-01-01,9,Ciudad de México,4.1,12.5,20.9,1.1,39.38,54.5,69.62,0.043307000000000005
1985-01-01,10,Durango,0.7,9.9,19.0,61.3,33.26,49.82,66.2,2.413381
1985-01-01,11,Guanajuato,5.1,13.6,22.1,1.4,41.18,56.48,71.78,0.055118
1985-01-01,12,Guerrero,15.1,22.7,30.4,15.8,59.18,72.86,86.72,0.6220460000000001
1985-01-01,13,Hidalgo,2.5,11.6,20.8,22.5,36.5,52.879999999999995,69.44,0.8858250000000001
1985-01-01,14,Jalisco,6.7,16.1,25.6,7.1,44.06,60.980000000000004,78.08,0.279527
1985-01-01,15,Estado de México,3.0,11.8,20.6,3.5,37.4,53.24,69.08,0.137795
1985-01-01,16,Michoacán,7.5,16.7,25.9,1.4,45.5,62.059999999999995,78.62,0.055118
1985-01-01,17,Morelos,9.3,18.2,27.1,2.8,48.74,64.75999999999999,80.78,0.110236
1985-01-01,18,Nayarit,12.2,20.5,28.8,60.8,53.96,68.9,83.84,2.393696
1985-01-01,19,Nuevo León,4.5,12.0,19.5,36.6,40.1,53.6,67.1,1.4409420000000002
1985-01-01,20,Oaxaca,11.4,19.0,26.7,10.9,52.52,66.2,80.06,0.42913300000000004
1985-01-01,21,Puebla,5.6,14.0,22.5,12.1,42.08,57.2,72.5,0.476377
1985-01-01,22,Querétaro,3.9,13.0,22.2,2.8,39.02,55.4,71.96,0.110236
1985-01-01,23,Quintana Roo,15.5,22.0,28.6,64.7,59.9,71.6,83.48,2.5472390000000003
1985-01-01,24,San Luis Potosí,6.4,14.3,22.2,12.4,43.519999999999996,57.74,71.96,0.48818800000000007
1985-01-01,25,Sinaloa,10.6,19.0,27.4,115.6,51.08,66.2,81.32,4.551172
1985-01-01,26,Sonora,6.1,14.8,23.5,44.8,42.980000000000004,58.64,74.3,1.763776
1985-01-01,27,Tabasco,17.5,22.3,27.0,189.3,63.5,72.14,80.6,7.4527410000000005
1985-01-01,28,Tamaulipas,8.3,15.4,22.4,25.2,46.94,59.72,72.32,0.992124
1985-01-01,29,Tlaxcala,0.8,10.4,20.0,2.9,33.44,50.72,68.0,0.114173
1985-01-01,30,Veracruz,11.8,17.6,23.5,22.8,53.24,63.68,74.3,0.8976360000000001
1985-01-01,31,Yucatán,15.1,22.1,29.2,56.2,59.18,71.78,84.56,2.212594
1985-01-01,32,Zacatecas,3.1,12.0,20.9,20.5,37.58,53.6,69.62,0.807085
1985-02-01,0,Mexico,9.1,17.5,26.0,16.5,48.379999999999995,63.5,78.8,0.649605
1985-02-01,1,Aguascalientes,4.5,14.2,23.9,1.6,40.1,57.56,75.02,0.062992
1985-02-01,2,Baja California,5.6,13.0,20.5,23.6,42.08,55.4,68.9,0.9291320000000001
1985-02-01,3,Baja California Sur,9.0,17.3,25.6,0.1,48.2,63.14,78.08,0.003937
1985-02-01,4,Campeche,16.9,24.6,32.3,26.7,62.42,76.28,90.14,1.051179
1985-02-01,5,Coahuila,6.1,13.9,21.7,6.2,42.980000000000004,57.02,71.06,0.24409400000000003
1985-02-01,6,Colima,13.5,22.5,31.6,1.8,56.3,72.5,88.88000000000001,0.07086600000000001
1985-02-01,7,Chiapas,15.1,22.4,29.7,59.2,59.18,72.32,85.46000000000001,2.3307040000000003
1985-02-01,8,Chihuahua,0.3,10.0,19.8,9.4,32.54,50.0,67.64,0.370078
1985-02-01,9,Ciudad de México,5.7,14.3,23.0,1.5,42.260000000000005,57.74,73.4,0.059055
1985-02-01,10,Durango,2.4,12.2,22.0,4.7,36.32,53.96,71.6,0.185039
1985-02-01,11,Guanajuato,6.4,15.2,24.1,2.8,43.519999999999996,59.36,75.38,0.110236
1985-02-01,12,Guerrero,15.6,23.5,31.4,1.2,60.08,74.3,88.52,0.047244
1985-02-01,13,Hidalgo,4.5,13.9,23.3,14.7,40.1,57.02,73.94,0.578739
1985-02-01,14,Jalisco,7.5,17.5,27.6,1.6,45.5,63.5,81.68,0.062992
1985-02-01,15,Estado de México,3.9,13.0,22.1,2.5,39.02,55.4,71.78,0.09842500000000001
1985-02-01,16,Michoacán,8.2,17.8,27.4,1.4,46.76,64.04,81.32,0.055118
